Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.Fatal.Serious,Plane.Type
20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,Non-Fatal,Airplane,CF-TLU,MCDONNELL DOUGLAS,DC9,No,Part 129: Foreign,0.0,0.0,1.0,44.0,0.0,MCDONNELL DOUGLAS DC9
20020909X01562,Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,Non-Fatal,Airplane,N2482N,CESSNA,140,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 140
20020909X01561,Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Airplane,N7967Q,CESSNA,401B,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 401B
20020917X02148,Accident,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,Non-Fatal,Airplane,N14779,BELLANCA,17-30A,No,Part 91: General Aviation,0.0,0.0,1.0,0.0,0.0,BELLANCA 17-30A
20020917X02134,Accident,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,Fatal(1),Airplane,N758SK,CESSNA,R172K,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,CESSNA R172K
20020917X02117,Accident,FTW82FPG08,1982-01-02,"LITTLE ROCK, AR",United States,Fatal(2),Airplane,N9779L,BEECH,19,No,Part 91: General Aviation,2.0,0.0,0.0,0.0,2.0,BEECH 19
20020917X01656,Accident,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,Fatal(3),Airplane,N7641A,CESSNA,180,No,Part 91: General Aviation,3.0,0.0,0.0,0.0,3.0,CESSNA 180
20020917X02481,Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,Non-Fatal,Airplane,N25084,CESSNA,172,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 172
20020917X01894,Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,Non-Fatal,Airplane,N68812,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20020917X01776,Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,Non-Fatal,Airplane,N1549Q,CESSNA,150L,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 150L
20020917X02333,Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,Incident,Airplane,N5018P,PIPER,PA-24-180,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,PIPER PA-24-180
20020917X02255,Accident,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,Fatal(2),Airplane,N28912,GRUMMAN,AA-5B,No,Part 91: General Aviation,2.0,1.0,0.0,0.0,3.0,GRUMMAN AA-5B
20020917X01905,Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Fatal(8),Airplane,N2620L,CESSNA,414A,No,Part 91: General Aviation,8.0,0.0,0.0,0.0,8.0,CESSNA 414A
20020917X02483,Accident,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,Non-Fatal,Airplane,N7125D,MAULE,M-5-235C,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,MAULE M-5-235C
20020917X02340,Accident,MIA82DA030,1982-01-03,"COCOA, FL",United States,Non-Fatal,Airplane,N94252,CESSNA,210L,No,Part 91: General Aviation,0.0,0.0,1.0,1.0,0.0,CESSNA 210L
20020917X02155,Accident,LAX82DA035,1982-01-03,"SAN CLEMENTINE, CA",United States,Non-Fatal,Airplane,N8630V,BELLANCA,7GCBC,No,Part 91: General Aviation,0.0,0.0,2.0,0.0,0.0,BELLANCA 7GCBC
20020917X01992,Accident,FTW82DA036,1982-01-03,"FORT WORTH, TX",United States,Non-Fatal,Airplane,N71054,CESSNA,182,No,Part 91: General Aviation,0.0,0.0,2.0,0.0,0.0,CESSNA 182
20020917X01960,Accident,DEN82DTI09,1982-01-03,"GREENOUGH, MT",United States,Non-Fatal,Airplane,N23069,AIR TRACTOR,AT-301,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,AIR TRACTOR AT-301
20020917X02618,Accident,SEA82FA015,1982-01-04,"PLEASANT HILL, OR",United States,Fatal(4),Airplane,N8265A,PIPER,PA-28-161,No,Part 91: General Aviation,4.0,0.0,0.0,0.0,4.0,PIPER PA-28-161
20020917X02254,Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,Fatal(2),Airplane,N1956H,PIPER,PA-34-200T,No,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,2.0,PIPER PA-34-200T
20020917X01880,Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,Fatal(2),Airplane,N2CU,CESSNA,T337G,No,Part 91: General Aviation,2.0,2.0,0.0,0.0,4.0,CESSNA T337G
20020917X01991,Accident,FTW82DA035,1982-01-04,"ESTANCIA, NM",United States,Non-Fatal,Airplane,N32335,PIPER,PA-28R-200,No,Part 91: General Aviation,0.0,0.0,2.0,0.0,0.0,PIPER PA-28R-200
20020917X02410,Accident,MIA82FKA05,1982-01-04,SAINT CROIX,,Fatal(1),Airplane,N5151U,CESSNA,206,No,Part 91: General Aviation,1.0,0.0,1.0,0.0,1.0,CESSNA 206
20020917X02253,Accident,LAX82FA036,1982-01-05,"BLACK CANYON CI, AZ",United States,Fatal(1),Airplane,N4696Z,PIPER,PA-22,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,PIPER PA-22
20020917X01906,Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,Fatal(2),Airplane,N546BA,PIPER,PA-31,No,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,2.0,PIPER PA-31
20020917X01764,Incident,ATL82IA029,1982-01-05,"PENSACOLA, FL",United States,Incident,Airplane,N5782N,ROCKWELL,114,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,ROCKWELL 114
20020917X01993,Accident,FTW82DA037,1982-01-05,"LONOKE, AR",United States,Non-Fatal,Airplane,N5304P,PIPER,PA-24-250,No,Part 91: General Aviation,0.0,1.0,0.0,1.0,1.0,PIPER PA-24-250
20020917X01658,Accident,ATL82DA028,1982-01-05,"GASTONIA, NC",United States,Non-Fatal,Airplane,N2139T,PIPER,PA-28R-200,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,PIPER PA-28R-200
20020917X02156,Accident,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,Non-Fatal,Airplane,N738XP,CESSNA,TR182,No,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,1.0,0.0,CESSNA TR182
20020917X01651,Accident,ANC82FA012,1982-01-05,"BETHEL, AK",United States,Non-Fatal,Airplane,N3343S,CESSNA,A185F,No,Part 135: Air Taxi & Commuter,0.0,2.0,0.0,0.0,2.0,CESSNA A185F
20020917X01913,Accident,DEN82DA015,1982-01-06,"JACKSON, WY",United States,Non-Fatal,Airplane,N8070Q,BEECH,35,No,Part 91: General Aviation,0.0,0.0,0.0,3.0,0.0,BEECH 35
20020917X01777,Accident,CHI82DA021,1982-01-06,"PAXTON, IL",United States,Non-Fatal,Airplane,N4900L,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 152
20020917X01757,Accident,ATL82FLG08,1982-01-06,"HILTON HEAD, SC",United States,Non-Fatal,Airplane,N201NH,MOONEY,M-20J,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,MOONEY M-20J
20020917X02242,Accident,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,Non-Fatal,Airplane,N59737,BOEING,A75,No,Part 91: General Aviation,0.0,1.0,0.0,1.0,1.0,BOEING A75
20020917X01964,Accident,DEN82FA016,1982-01-07,"HELENA, MT",United States,Fatal(2),Airplane,N9763X,CESSNA,210,No,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,2.0,CESSNA 210
20020917X01659,Accident,ATL82DA031,1982-01-07,"WESTMINISTER, MD",United States,Non-Fatal,Airplane,N117P,BEECH,V35,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,BEECH V35
20020917X02414,Accident,MIA82FLD14,1982-01-08,"ODESSA, FL",United States,Fatal(1),Airplane,N80264,CESSNA,172M,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,CESSNA 172M
20020917X01881,Accident,CHI82FA024,1982-01-08,"NEW PHILADELPHI, OH",United States,Fatal(1),Airplane,N207CB,PIPER,PA-28-140,No,Part 91: General Aviation,1.0,1.0,0.0,0.0,2.0,PIPER PA-28-140
20020917X02574,Accident,SEA82DA016,1982-01-08,"PULLMAN, WA",United States,Non-Fatal,Airplane,N6106U,CESSNA,TU206G,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA TU206G
20020917X02484,Accident,NYC82DA019,1982-01-08,"CUTCHOGUE, NY",United States,Non-Fatal,Airplane,N46681,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20020917X02431,Accident,MKC82DA026,1982-01-08,"LIBERTY, MO",United States,Non-Fatal,Airplane,N7618P,PIPER,PA-24-250,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,PIPER PA-24-250
20020917X01779,Accident,CHI82DA023,1982-01-08,"PEORIA, IL",United States,Non-Fatal,Airplane,N6265P,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20020917X01778,Accident,CHI82DA022,1982-01-08,"SANDUSKY, OH",United States,Non-Fatal,Airplane,N737LH,CESSNA,172N,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 172N
20020917X01717,Accident,ATL82DLG09,1982-01-08,"GRANTITEVILLE, SC",United States,Non-Fatal,Airplane,N25225,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20020917X02246,Accident,LAX82DVG12,1982-01-09,"NAPA, CA",United States,Non-Fatal,Airplane,N731NZ,CESSNA,P210N,No,Part 91: General Aviation,0.0,1.0,0.0,3.0,1.0,CESSNA P210N
20020917X01995,Accident,FTW82DA039,1982-01-09,"FRUIT VALE, TX",United States,Non-Fatal,Airplane,N7355A,CESSNA,172,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 172
20020917X01994,Accident,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,Non-Fatal,Airplane,N55489,PIPER,PA-34,No,Part 91: General Aviation,0.0,0.0,0.0,3.0,0.0,PIPER PA-34
20020917X02283,Accident,LAX82FJA03,1982-01-09,"MOKULEIA, HI",United States,Non-Fatal,Airplane,N5639V,CESSNA,305 (L-19),No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 305 (L-19)
20020917X01981,Accident,DEN82FTE15,1982-01-09,"STEAMBOAT SPRIN, CO",United States,Non-Fatal,Airplane,N2195G,CESSNA,182A,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 182A
20020917X02341,Accident,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,Non-Fatal,Airplane,N567V,PIPER,PA-23-250,No,Part 91: General Aviation,0.0,2.0,0.0,0.0,2.0,PIPER PA-23-250
20020917X02158,Accident,LAX82DA041,1982-01-10,"BULLHEAD CITY, AZ",United States,Non-Fatal,Airplane,N2753J,CESSNA,172N,No,Part 91: General Aviation,0.0,0.0,0.0,4.0,0.0,CESSNA 172N
20020917X01882,Accident,CHI82FA025,1982-01-10,"WHEELING, IL",United States,Non-Fatal,Airplane,N6995Y,PIPER,23-250,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,PIPER 23-250
20020917X01719,Accident,ATL82FA032,1982-01-10,"HENDERSON, NC",United States,Fatal(1),Airplane,N3688N,MOONEY,M20G,No,Part 91: General Aviation,1.0,1.0,0.0,0.0,2.0,MOONEY M20G
20020917X02305,Accident,LAX82FUQ07,1982-01-10,"MOJAVE, CA",United States,Non-Fatal,Airplane,N2644Q,CESSNA,TU206F,No,Part 91: General Aviation,0.0,0.0,4.0,0.0,0.0,CESSNA TU206F
20020917X01623,Accident,ANC82DA013,1982-01-10,"QUINHAGAK, AK",United States,Non-Fatal,Airplane,N756YN,CESSNA,U206,No,Part 135: Air Taxi & Commuter,0.0,0.0,3.0,0.0,0.0,CESSNA U206
20020917X01985,Accident,DEN82FTI10,1982-01-11,"NEAR BOZEMAN, MT",United States,Non-Fatal,Airplane,N7273J,PIPER,PA-28-140,No,Part 91: General Aviation,0.0,1.0,1.0,0.0,1.0,PIPER PA-28-140
20020917X01965,Accident,DEN82FA017,1982-01-11,"RIVERTON, WY",United States,Fatal(4),Airplane,N6558A,CESSNA,210N,No,Part 91: General Aviation,4.0,1.0,1.0,0.0,5.0,CESSNA 210N
20020917X01982,Accident,DEN82FTE16,1982-01-11,"SAQUACHE, CO",United States,Non-Fatal,Airplane,N2332C,CESSNA,180,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 180
20020917X01715,Accident,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,Non-Fatal,Airplane,N424VW,CESSNA,310L,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 310L
20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,Incident,Airplane,N615KC,EMBRAER,EMB-110P1,No,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,2.0,0.0,EMBRAER EMB-110P1
20020917X01750,Accident,ATL82FKQ09,1982-01-12,"ABERDEEN, MS",United States,Non-Fatal,Airplane,N7706,CESSNA,414,No,Part 91: General Aviation,0.0,0.0,3.0,0.0,0.0,CESSNA 414
20020917X02111,Accident,FTW82FPA10,1982-01-12,"ADDISON, TX",United States,Non-Fatal,Airplane,N8678M,BEECH,P35,No,Part 91: General Aviation,0.0,1.0,0.0,1.0,1.0,BEECH P35
20020917X02342,Accident,MIA82DA033,1982-01-13,"MONTICELLO, FL",United States,Non-Fatal,Airplane,N28607,GRUMMAN,AA5B,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,GRUMMAN AA5B
20020917X02120,Accident,FTW82FPJ11,1982-01-13,"WATONGA, OK",United States,Non-Fatal,Airplane,N47442,PIPER,PA-28R-201T,No,Part 91: General Aviation,0.0,0.0,0.0,3.0,0.0,PIPER PA-28R-201T
20020917X01996,Accident,FTW82DA040,1982-01-13,"HOBBS, NM",United States,Non-Fatal,Airplane,N2396W,BEECH,A23-24,No,Part 91: General Aviation,0.0,0.0,0.0,4.0,0.0,BEECH A23-24
20020917X02575,Accident,SEA82DA017,1982-01-13,"SPOKANE, WA",United States,Non-Fatal,Airplane,N36PB,PIPER,PA-31-350,No,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,2.0,0.0,PIPER PA-31-350
20020917X01966,Accident,DEN82FA018,1982-01-15,"28 MI ENE OGDEN, UT",United States,Fatal(3),Airplane,N6520Y,CESSNA,T210N,No,Part 91: General Aviation,3.0,0.0,0.0,0.0,3.0,CESSNA T210N
20020917X02395,Accident,MIA82DKJ03,1982-01-15,"MALONE, FL",United States,Non-Fatal,Airplane,N5559T,CESSNA,172,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 172
20020917X02576,Accident,SEA82DA018,1982-01-15,"SPOKANE, WA",United States,Non-Fatal,Airplane,N72901,CESSNA,140,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 140
20020917X02538,Accident,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,Non-Fatal,Airplane,N341PL,SWEARINGEN,SA 226-TC,No,Part 135: Air Taxi & Commuter,0.0,1.0,2.0,12.0,1.0,SWEARINGEN SA 226-TC
20020917X01780,Accident,CHI82DA027,1982-01-15,"ANOKA, MN",United States,Non-Fatal,Airplane,N300JR,BEECH,C-45H,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,BEECH C-45H
20020917X01625,Accident,ANC82DA015,1982-01-15,"NEAR NUIQSUT, AK",United States,Non-Fatal,Airplane,N1459T,DE HAVILLAND,DHC-2-MK3,No,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,4.0,0.0,DE HAVILLAND DHC-2-MK3
20020917X02487,Accident,NYC82DA023,1982-01-16,"SWANTON, VT",United States,Non-Fatal,Airplane,N704KE,CESSNA,150M,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 150M
20020917X02321,Accident,LAX82FVG14,1982-01-17,"DAVIS, CA",United States,Fatal(1),Airplane,N63182,CESSNA,150M,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,CESSNA 150M
20020917X02294,Accident,LAX82FUJ24,1982-01-17,"SUNFLOWER, AZ",United States,Non-Fatal,Airplane,N7383S,CESSNA,182P,No,Part 91: General Aviation,0.0,0.0,1.0,0.0,0.0,CESSNA 182P
20020917X02142,Accident,FTW82FRG21,1982-01-17,"PORT MANSFIELD, TX",United States,Fatal(1),Airplane,N9181Y,PIPER,PA-31,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,PIPER PA-31
20020917X01967,Accident,DEN82FA020,1982-01-17,"DELTA, UT",United States,Non-Fatal,Airplane,N91TW,PIPER,PA-31T,No,Part 91: General Aviation,0.0,0.0,3.0,0.0,0.0,PIPER PA-31T
20020917X01721,Accident,ATL82FA035,1982-01-17,"PICAYUNE, MS",United States,Fatal(2),Airplane,N654T,BEECH,F50,No,Part 91: General Aviation,2.0,0.0,0.0,0.0,2.0,BEECH F50
20020917X01624,Accident,ANC82DA014,1982-01-17,"ANCHORAGE, AK",United States,Non-Fatal,Airplane,N63516,CESSNA,150,No,Part 91: General Aviation,0.0,0.0,1.0,1.0,0.0,CESSNA 150
20020917X01914,Accident,DEN82DA019,1982-01-17,"CEDAR CITY, UT",United States,Non-Fatal,Airplane,N2600Y,CESSNA,180E,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 180E
20020917X01645,Accident,ANC82DAG15,1982-01-17,"TULUKSAK, AK",United States,Non-Fatal,Airplane,N3574D,CESSNA,170B,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 170B
20020917X02624,Accident,SEA82FYM08,1982-01-18,"ORCHARDS, WA",United States,Non-Fatal,Airplane,N2127W,BEECH,C23,No,Part 91: General Aviation,0.0,2.0,2.0,0.0,2.0,BEECH C23
20020917X02257,Accident,LAX82FA047,1982-01-18,"DOWNIEVILLE, CA",United States,Fatal(1),Airplane,N5295R,CESSNA,172M,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,CESSNA 172M
20020917X01723,Accident,ATL82FA039,1982-01-18,"BLAIRSVILLE, GA",United States,Fatal(3),Airplane,N4583J,PIPER,PA-28-180,No,Part 91: General Aviation,3.0,0.0,0.0,0.0,3.0,PIPER PA-28-180
20020917X01999,Accident,FTW82DA045,1982-01-18,"S.E. OF HOUMA, LA",United States,Non-Fatal,Airplane,N2705K,CESSNA,180K,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 180K
20020917X01722,Accident,ATL82FA037,1982-01-18,"MADISON COUNTY, AL",United States,Fatal(4),Airplane,N641CH,CESSNA,210L,No,Part 91: General Aviation,4.0,0.0,0.0,0.0,4.0,CESSNA 210L
20020917X02476,Accident,MKC82FCQ08,1982-01-19,"CEDAR VALE, KS",United States,Fatal(1),Airplane,N7761M,MOONEY,M20F,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,MOONEY M20F
20020917X02121,Accident,FTW82FPJ12,1982-01-19,"STILLWATER, OK",United States,Fatal(2),Airplane,N4438D,BEECH,G35,No,Part 91: General Aviation,2.0,0.0,0.0,0.0,2.0,BEECH G35
20020917X01978,Accident,DEN82FTA09,1982-01-19,"WOLF PT., MT",United States,Fatal(1),Airplane,N35147,CESSNA,177B,No,Part 91: General Aviation,1.0,2.0,0.0,0.0,3.0,CESSNA 177B
20020917X01908,Accident,DCA82AA012B,1982-01-19,"ROCKPORT, TX",United States,Fatal(3),Airplane,N26660,GRUMMAN,AA5A,No,Part 91: General Aviation,3.0,0.0,0.0,0.0,3.0,GRUMMAN AA5A
20020917X01908,Accident,DCA82AA012A,1982-01-19,"ROCKPORT, TX",United States,Fatal(3),Airplane,N336SA,SWEARINGEN,SA226-T(B),No,Part 91: General Aviation,3.0,0.0,0.0,0.0,3.0,SWEARINGEN SA226-T(B)
20020917X01766,Incident,ATL82IA038,1982-01-19,"WASHINGTON, DC",United States,Incident,Airplane,N9240N,DE HAVILLAND,DHC-6-300,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,DE HAVILLAND DHC-6-300
20020917X02490,Accident,NYC82DA026,1982-01-19,"SOMERSET, PA",United States,Non-Fatal,Airplane,N8043J,PIPER,AEROSTAR 601P,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,PIPER AEROSTAR 601P
20020917X02488,Accident,NYC82DA024,1982-01-19,"ENFIELD, NH",United States,Non-Fatal,Airplane,N68292,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20020917X02425,Accident,MKC82DA018,1982-01-19,"TOPEKA, KS",United States,Non-Fatal,Airplane,N52757,CESSNA,182P,No,Part 91: General Aviation,0.0,0.0,1.0,1.0,0.0,CESSNA 182P
20020917X02424,Accident,MKC82DA017,1982-01-19,"URBANDALE, IA",United States,Non-Fatal,Airplane,N1969Q,CESSNA,177RG,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 177RG
20020917X02160,Accident,LAX82DA043,1982-01-19,"SANTA MONICA, CA",United States,Non-Fatal,Airplane,N9255X,CESSNA,182E,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 182E
20020917X01997,Accident,FTW82DA042,1982-01-19,"SHREVEPORT, LA",United States,Non-Fatal,Airplane,N6510S,CESSNA,150H,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 150H
20020917X01806,Accident,CHI82DA056,1982-01-19,"NEAR LANSING, MI",United States,Non-Fatal,Airplane,N4140G,CESSNA,340A,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 340A
20020917X01781,Accident,CHI82DA028,1982-01-19,"GRAND RAPIDS, MI",United States,Non-Fatal,Airplane,N26093,PIPER,PA-38-112,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,PIPER PA-38-112
20020917X01628,Accident,ANC82DA019,1982-01-19,"TUNTUTULIAK, AK",United States,Non-Fatal,Airplane,N4246T,PIPER,PA-32,No,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,2.0,0.0,PIPER PA-32
20020917X02334,Incident,LAX82IA044,1982-01-20,"SAN JOSE, CA",United States,Incident,Airplane,N74HP,PIPER,PA-31-350,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,PIPER PA-31-350
20020917X02258,Accident,LAX82FA048,1982-01-20,"CHERRY VALLEY, CA",United States,Fatal(2),Airplane,N9395Q,BEECH,58,No,Part 91: General Aviation,2.0,0.0,0.0,0.0,2.0,BEECH 58
20020917X02256,Accident,LAX82FA045,1982-01-20,"ESCONDIDO, CA",United States,Fatal(3),Airplane,N92387,CESSNA,182N,No,Part 91: General Aviation,3.0,0.0,0.0,0.0,3.0,CESSNA 182N
20020917X01751,Accident,ATL82FKQ10,1982-01-20,"MCCOMB, MS",United States,Fatal(1),Airplane,N6242Y,PIPER,PA-23-250,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,PIPER PA-23-250
20020917X02398,Accident,MIA82FA035,1982-01-20,"ORLANDO, FL",United States,Fatal(1),Airplane,N3318S,CESSNA,210,No,Part 91: General Aviation,1.0,0.0,0.0,1.0,1.0,CESSNA 210
20020917X01998,Accident,FTW82DA044,1982-01-20,"MIDLAND, TX",United States,Non-Fatal,Airplane,N5350M,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20020917X02619,Accident,SEA82FA032,1982-01-21,"BOISE, ID",United States,Fatal(4),Airplane,N4947K,CESSNA,P210N,No,Part 91: General Aviation,4.0,0.0,0.0,0.0,4.0,CESSNA P210N
20020917X02467,Accident,MKC82FA019,1982-01-21,"NORTH KANSAS CI, MO",United States,Fatal(1),Airplane,N4553Q,CESSNA,402A,No,Part 135: Air Taxi & Commuter,1.0,0.0,0.0,0.0,1.0,CESSNA 402A
20020917X02399,Accident,MIA82FA037,1982-01-21,"15NM W. OPA LOC, FL",United States,Non-Fatal,Airplane,N211TA,DOUGLAS,DC-3,No,Part 91: General Aviation,0.0,0.0,2.0,0.0,0.0,DOUGLAS DC-3
20020917X02295,Accident,LAX82FUJ25,1982-01-21,"BAGDAD, AZ",United States,Non-Fatal,Airplane,N40291,PIPER,PA-23-250,No,Part 91: General Aviation,0.0,1.0,2.0,0.0,1.0,PIPER PA-23-250
20020917X02260,Accident,LAX82FA050,1982-01-21,"10NM N. OF MCNA, AZ",United States,Fatal(1),Airplane,N41664,PIPER,PA-28-235,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,PIPER PA-28-235
20020917X01749,Accident,ATL82FKJ11,1982-01-21,"MUSCLE SHOALS, AL",United States,Non-Fatal,Airplane,N31937,PIPER,PA-32,No,Part 91: General Aviation,0.0,1.0,3.0,0.0,1.0,PIPER PA-32
20020917X01626,Accident,ANC82DA016,1982-01-21,"PORT GRAHAM, AK",United States,Non-Fatal,Airplane,N1729U,CESSNA,207,No,Part 135: Air Taxi & Commuter,0.0,0.0,1.0,0.0,0.0,CESSNA 207
20020917X02161,Accident,LAX82DA046,1982-01-21,"DOS PALOS, CA",United States,Non-Fatal,Airplane,N8793S,AIR TRACTOR,301,No,Part 137: Agricultural,0.0,0.0,0.0,1.0,0.0,AIR TRACTOR 301
20020917X02171,Accident,LAX82DA060,1982-01-22,"CARSON CITY, NV",United States,Non-Fatal,Airplane,N13083,CESSNA,172M,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 172M
20020917X02622,Accident,SEA82FYK07,1982-01-23,"LAPINE, OR",United States,Fatal(1),Airplane,N8172B,CESSNA,172,No,Part 91: General Aviation,1.0,1.0,0.0,0.0,2.0,CESSNA 172
20020917X02259,Accident,LAX82FA049A,1982-01-23,"VICTORVILLE, CA",United States,Fatal(2),Airplane,N7860V,MOONEY,M20C,No,Part 91: General Aviation,2.0,0.0,4.0,0.0,2.0,MOONEY M20C
20020917X02000,Accident,FTW82DA047,1982-01-23,"HOBBS, NM",United States,Non-Fatal,Airplane,N8584,GRUMMAN,G-164A,No,Part 137: Agricultural,0.0,0.0,0.0,1.0,0.0,GRUMMAN G-164A
20020917X01909,Accident,DCA82AA013,1982-01-23,"BOSTON, MA",United States,Fatal(2),Airplane,N113WA,MCDONNELL DOUGLAS,DC-10-30,No,Part 121: Air Carrier,2.0,4.0,24.0,182.0,6.0,MCDONNELL DOUGLAS DC-10-30
20020917X01883,Accident,CHI82FA032,1982-01-23,"LONDON, OH",United States,Fatal(1),Airplane,N6940Q,BEECH,A23A,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,BEECH A23A
20020917X02426,Accident,MKC82DA020,1982-01-23,"TOPEKA, KS",United States,Non-Fatal,Airplane,N2872D,PIPER,PA-32-300,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,PIPER PA-32-300
