Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.Fatal.Serious,Plane.Type
20170410X92111,Accident,CEN17LA148,2017-04-05,"Detroit Lakes, MN",United States,Non-Fatal,Airplane,N1215M,CESSNA,T210M,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA T210M
20170410X81848,Accident,GAA17CA221,2017-04-06,"Granby, CO",United States,Non-Fatal,Airplane,N829BA,CESSNA,P210,No,091,0.0,0.0,0.0,2.0,0.0,CESSNA P210
20170412X80135,Accident,GAA17CA229,2017-04-06,"San Marcos, TX",United States,Non-Fatal,Airplane,N2477F,CESSNA,172,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 172
20170407X41449,Accident,ERA17LA151,2017-04-07,"Atlanta, GA",United States,Non-Fatal,Airplane,N56H,CESSNA,414,No,091,0.0,0.0,0.0,1.0,0.0,CESSNA 414
20170407X41612,Accident,WPR17FA085,2017-04-07,"Harrisburg, OR",United States,Fatal,Airplane,N123SB,PIPER,PA 46-310P,No,091,4.0,0.0,0.0,0.0,4.0,PIPER PA 46-310P
20170407X85555,Accident,CEN17FA147,2017-04-07,"Oxford, IA",United States,Fatal,Airplane,N9179J,PIPER,PA-28-180,No,091,2.0,0.0,0.0,0.0,2.0,PIPER PA-28-180
20170410X22503,Accident,GAA17CA224,2017-04-07,"Woodruff, WI",United States,Non-Fatal,Airplane,N9363K,STINSON,108,No,091,0.0,0.0,0.0,2.0,0.0,STINSON 108
20170414X95022,Incident,DCA17WA095,2017-04-07,"Kong Kong, China",China,,Airplane,VH-OJU,BOEING,747,No,129,0.0,0.0,0.0,0.0,0.0,BOEING 747
20170417X91628,Accident,CEN17LA154,2017-04-07,"Greensburg, IN",United States,Non-Fatal,Airplane,N2389A,PIPER,PA-22-135,No,091,0.0,1.0,0.0,2.0,1.0,PIPER PA-22-135
20170408X41518,Accident,ERA17FA148,2017-04-08,"Sanford, FL",United States,Fatal,Airplane,N3280M,PIPER,PA 12,No,091,1.0,0.0,0.0,0.0,1.0,PIPER PA 12
